supplier_name,total_spend,tender_count,agencies_count,on_time_delivery_pct,quality_rating,cost_competitiveness_score
ENG HUP SHIPPING PTE LTD,102895114.0,6,4,85.83,3.51,68.19
ENG LAM CONTRACTORS CO (PTE) LTD,505866090.0,21,3,100.0,4.03,70.5
ENG LEE ENGINEERING PTE LTD,595953000.0,9,3,98.72,4.36,69.53
ENG LENG CONTRACTORS PTE LTD,83683400.0,6,5,77.6,4.2,63.18
ENG LEONG MEDALLIC INDUSTRIES PTE LTD,249480.97999999998,4,3,94.64,3.65,68.63
ENG SENG TECH PTE. LTD.,5850600.0,5,2,94.49,3.8,79.03
ENG SOON CHAIR & TABLE HIRE SERVICE,26833.57,1,1,78.81,3.42,70.88
ENG XIAN CONSTRUCTION PTE LTD,4057700.0,3,3,94.55,3.97,40.0
ENGAGE2SERVE PTE. LTD.,430500.0,1,1,100.0,4.75,88.74
ENGE PLAS AUTOMATION (S) PTE LTD,36384.0,1,1,79.02,4.1,61.16
ENGEL SINGAPORE PTE. LTD.,242520.0,1,1,80.66,4.62,83.89
ENGELIN TEH PRACTICE LLC,273207.33999999997,11,9,96.14,4.97,78.31
ENGIE ITS PTE. LTD.,2957122.0,7,6,90.17,3.75,99.17
ENGIE PROPERTY SERVICES PTE. LTD.,383403.0,4,4,92.41,3.99,87.97
ENGIE SERVICES ASIA-PACIFIC PTE. LTD.,157500.0,1,1,90.72,5.0,72.95
ENGIE SERVICES SINGAPORE PTE. LTD.,84640714.88,10,7,91.13,4.97,70.98
ENGINEERING COMPUTER SERVICES (S) PTE LTD,186742.66,1,1,77.39,3.1,93.03
ENGINEERING LABORATORY ELECTRONICS (S) PTE. LTD.,105985.0,1,1,96.38,4.33,63.24
ENGINEERS 2002 (PTE),1722334.0,37,7,97.36,4.1,79.91
ENGINEERS 2002 PRIVATE LIMITED,584540.0,11,3,86.16,4.6,76.69
ENGRO CORPORATION LIMITED,67868.28,8,2,87.65,3.65,74.57
ENKON INTERNATIONAL CONSULTING ENGINEERS PTE LTD,110980.0,6,1,75.75,3.6,81.54
"ENLI TECHNOLOGY CO., LTD.",284000.0,1,1,92.11,3.69,79.9
ENOVEC PTE. LTD.,143470.0,1,1,92.58,3.76,82.57
ENSIGN INFOSECURITY (SMARTTECH) PTE. LTD.,76780630.0,3,3,87.5,4.59,79.39
ENSIGN INFOSECURITY (SYSTEMS) PTE. LTD.,39159009.32,14,7,96.99,3.39,82.18
ENSURE ENGINEERING PTE LTD,57724684.0,18,2,85.33,3.73,78.93
"ENTERPRISE LEASING COMPANY OF PHOENIX, LLC",488601.87,1,1,92.52,3.03,71.41
ENTERPRISE PROMOTION CENTRES PTE LTD,1853760.0,1,1,79.84,4.7,78.04
"ENTERTAINMENT & CULTURE ADVISORS, LIMITED",78475.0,1,1,87.81,4.86,70.86
"ENTERTAINMENT + CULTURE ADVISORS, INC.",329000.0,1,1,86.61,3.9,70.2
ENTI PTE. LTD.,477120.0,1,1,89.8,3.92,74.64
ENTIIS PTE. LTD.,7850521.0600000005,13,7,85.04,4.37,76.81
ENVAC SINGAPORE PTE. LTD.,63545000.0,13,3,86.95,4.98,78.35
ENVIPURE PTE. LTD.,16718114.0,8,2,94.61,4.35,87.16
ENVIRO PRO GREEN INNOVATIONS (S) PTE. LTD.,187025.0,1,1,84.51,3.68,73.02
ENVIRO VORTEX SYSTEMS PTE. LTD.,178555.0,2,2,75.15,3.13,79.97
ENVIRON CONSTRUCTION CO (PTE) LTD,47118080.0,1,1,100.0,3.43,79.18
ENVIRONICHE LLP,263002.0,3,2,99.05,4.14,71.91
ENVIRONMENTAL RESOURCES MANAGEMENT (S) PTE LTD,3059884.0,4,3,77.66,3.71,78.74
ENVIROSOLUTIONS & CONSULTING PTE. LTD.,3393385.0,6,4,93.52,4.22,88.03
ENVIROTEC CONTROLS (ASIA PACIFIC) PTE. LTD.,381.0,1,1,83.98,3.77,79.87
ENVISION DIGITAL INTERNATIONAL PTE. LTD.,1003568.54,1,1,90.11,3.47,80.27
EO Medical Pte. Ltd.,20328.0,2,1,90.35,3.39,70.95
EON REALITY PTE. LTD.,8753390.0,4,2,86.12,5.0,97.69
EOS GMBH ELECTRO OPTICAL SYSTEMS,5644459.03,8,6,81.73,4.63,71.52
EP-TEC SOLUTIONS PTE LTD,102110.0,10,4,82.48,5.0,61.32
EPD SINGAPORE SERVICES PTE. LTD.,3740505.0,4,4,80.67,4.42,86.6
EPECOM GRAPHICS PTE LTD,310170.0,1,1,81.35,3.84,76.85
EPIC DIALOGUE PTE. LTD.,4310.0,1,1,87.46,4.89,74.97
EPIGRAM PTE LTD,1586567.0,10,9,82.27,4.08,72.54
EPIQ SINGAPORE PTE. LTD.,970530.46,3,2,93.46,4.23,96.72
EPITOME DIRECTIONS,1.0,1,1,99.9,4.07,81.55
EPITOME GLOBAL PTE. LTD.,338000.0,1,1,83.36,2.33,83.5
EPM TRAINING SERVICES PTE. LTD.,255600.0,1,1,89.92,5.0,79.63
EPS (2008) PTE. LTD.,3059932.0,5,1,92.0,4.39,80.7
EPS COMPUTER SYSTEMS PTE LTD,12407572.5,9,8,91.78,4.3,91.99
EPS CONSULTANTS PTE LTD,107.0,10,6,88.61,4.06,75.49
EPSON SINGAPORE PTE LTD,1221474.2,1,1,93.94,4.2,63.43
EQ Services,136540.0,1,1,91.86,3.74,86.68
EQCOMS TECHNOLOGY PTE LTD,1390000.0,1,1,78.1,4.47,82.97
EQUALITY MARINE SERVICES PTE. LTD.,110.0,1,1,94.95,3.32,79.08
EQUINOX DESIGN LIMITED,267026.07,1,1,95.1,4.21,82.71
EQUIP MEDICAL PTE LTD,7637345.0,8,3,81.89,4.44,74.29
EQUITCHEM (S) PTE. LTD.,259200.0,1,1,88.3,3.98,78.21
EQUITY COMMUNICATIONS PTE. LTD.,55000.0,1,1,93.47,4.32,76.68
EQUIVOLT PTE. LTD.,24000.0,1,1,86.33,3.51,72.09
EQcoms Technology Pte Ltd,1113168.6,2,1,96.58,3.52,89.89
ER CHIANG SONG,11700.0,1,1,100.0,4.24,63.88
ERA DANCE THEATRE LIMITED,315000.0,2,1,81.71,4.51,100.0
ERA Realty Network Pte Ltd,2.0,2,1,76.95,2.98,86.77
ERCM CONSULTANCY PTE. LTD.,128140.0,2,1,90.43,4.41,60.22
EREZ PRIVATE LIMITED,426800.0,1,1,93.77,3.77,75.76
ERGO INSURANCE PTE. LTD.,154187.5,2,2,86.15,3.98,76.31
ERGOWORLD PTE LTD,7990198.0,5,5,99.63,3.3,81.92
ERIC CHRISTIAN FESSELMEYER,22000.0,1,1,77.29,3.59,68.11
ERIC SALMON & PARTNERS SINGAPORE PTE. LTD.,1.0,1,1,93.54,4.68,78.32
ERIDEON PRIVATE LIMITED,621000.0,1,1,83.15,4.12,76.79
ERION SPORTS,10725.0,1,1,100.0,3.87,70.62
ERNST & YOUNG ADVISORY PTE. LTD.,69846330.12,120,46,100.0,4.03,69.23
ERNST & YOUNG LLP,11422805.3,29,22,81.87,4.39,87.19
ERNST & YOUNG SOLUTIONS LLP,7528751.0,16,12,83.6,4.36,61.03
ERNTEN TECHNOLOGIEN PTE. LTD.,688000.0,1,1,94.88,4.05,82.78
ERP21 PTE LTD,3.0,1,1,84.9,4.76,85.98
ESCO MICRO PTE LTD,224126.5,2,2,87.64,4.68,75.81
ESCO PTE. LTD.,2518976.0,4,4,88.2,4.35,78.52
ESIS ASIA PACIFIC PTE. LTD.,152000.0,1,1,72.64,4.13,89.63
ESKI INC.,1243960.0,1,1,87.89,4.49,70.95
ESMACO VALUERS & PROPERTY AGENTS PTE LTD,0.02,2,1,82.48,4.29,71.98
ESN ASIA MANAGEMENT,1181971.9,4,2,84.06,4.74,73.05
ESN ASIA MANAGEMENT PTE. LTD.,1374285.08,8,5,99.55,4.64,89.65
ESPIRIT BUILDING & ENGINEERING PTE. LTD.,9747144.007216,10,7,77.95,3.49,90.92
ESPORE CORP PTE LTD,202742.37,1,1,94.51,3.45,64.04
ESPRIMO PTE. LTD.,612008.5,4,3,85.77,3.68,88.06
ESRI SINGAPORE PTE. LTD.,11023484.15,13,5,85.76,4.69,86.19
ESS WEATHERTECH PTY LTD,954634.66,1,1,94.32,3.15,93.54
ESSAR ENGINEERING PTE. LTD.,382500.0,2,2,90.72,4.34,81.85
ESTA PTE. LTD.,4134229.2,11,7,92.56,4.32,77.56
ESTATE EXCHANGE CONSULTING,428376.02,3,2,95.75,4.8,89.45
ETHNOGRAPHICA PRIVATE LIMITED,471700.0,1,1,85.35,4.21,84.99
ETHOS SEARCH ASSOCIATES PTE. LTD.,465868.0,8,7,83.1,3.29,100.0
ETHOZ GROUP LTD.,544000.0,2,1,79.32,3.52,87.59
ETIQA INSURANCE BERHAD,1151625.0,1,1,81.4,3.39,79.54
ETRONIN ELECTROMART,1342039.81,2,1,100.0,3.78,66.26
EUNIQUE PHYSIO PTE. LTD.,45252.0,1,1,97.96,3.99,72.19
EUNIQUE PHYSIOTHERAPY,89080.0,1,1,77.19,3.4,63.64
EUNIX FIRE PROTECTION PTE. LTD.,294400.0,2,1,77.42,4.98,75.85
EUPHORIA MUSIK,247440.0,1,1,91.85,3.3,87.26
EURACO FINEFOOD PTE LTD,414818.79,10,4,92.38,4.91,77.96
EUREKA! CAMPAIGN ASSOCIATES PTE. LTD.,8552962.83,21,15,92.39,4.81,88.22
EUROFINS FOOD TESTING SINGAPORE PTE. LTD.,426089.2,1,1,85.96,4.64,81.38
EUROFINS MECHEM PTE. LTD.,1262731.4,5,3,87.0,3.68,73.97
EUROMOBIL SDN BHD,88797.0,1,1,90.62,4.31,78.88
EUROPEAN ECONOMIC RESEARCH LIMTED,2.0,2,2,88.69,3.33,82.72
EV DANCE PTE. LTD.,51870.0,1,1,70.25,4.65,79.39
EVANTEK PTE LTD,1767517.0,2,2,86.16,4.06,79.51
EVENT GALAXY PTE. LTD.,20600.0,1,1,81.19,3.85,70.31
EVENT MEDICAL SERVICES,160640.0,1,1,89.4,3.37,73.67
EVENTIONS GROUP,137550.0,1,1,100.0,2.61,100.0
EVENTS MASTER (GLC) PTE. LTD.,396904.5,4,1,90.94,3.48,90.28
EVENTS PEOPLE INC PTE LTD,2310048.0,6,5,85.49,4.77,63.26
EVER SAN CONSTRUCTION PTE LTD,9502999.0,2,1,95.37,3.86,54.33
EVERGREEN ENGINEERING & CONSTRUCTION PTE LTD,14964370.0,7,5,91.86,4.0,78.76
EVERGREEN GROUP PTE. LTD.,1844530.66,2,2,91.36,4.49,86.93
"EVERGREEN INTERNATIONAL NZ, LLC",469575.92,1,1,92.85,5.0,72.8
EVERPAINT ENTERPRISE PTE. LTD.,65000.0,1,1,100.0,4.9,88.22
EVERSHEDS HARRY ELIAS LLP,266314.28,10,10,78.95,3.52,78.6
EVERSHINE FLORA DECO TEAM,15866.0,1,1,91.79,2.93,76.37
EVERTEAM PTE. LTD.,682641.0,13,5,80.59,5.0,85.56
EVICO MAGNETICS GMBH,249831.36,1,1,92.44,5.0,72.68
EVO COMMUNICATIONS,63400.0,1,1,80.65,4.21,75.13
EVOTECH ASIA CONSULTANCY PTE. LTD.,303583.0,1,1,84.66,3.34,84.7
EVVO LABS PTE. LTD.,2.0,2,1,85.64,4.68,77.69
EWC ENGINEERS PTE. LTD.,1021474.49,3,2,95.81,4.04,97.09
EWERKZ PROJECTS,366372.96,1,1,95.35,4.03,84.94
EWERKZ PROJECTS PTE. LTD.,999645.2,1,1,78.03,4.64,84.29
EWI RECRUITMENT LIMITED,1.0,1,1,88.44,4.3,77.5
EX LIBRIS LTD.,2869450.13,4,3,82.32,3.39,86.75
EXALIT PTE. LTD.,500045.0,4,2,77.93,3.91,74.77
EXCEL MARCO INDUSTRIAL SYSTEMS PTE LTD,2857050.0,2,1,86.26,4.5,80.82
EXCEL PRECAST PTE LTD,13225630.0,1,1,85.53,4.41,68.84
EXCELIFT PTE. LTD.,45760.0,1,1,100.0,4.26,88.39
EXCELLENT SECURITY & SAFETY PTE. LTD.,20713200.0,1,1,91.46,4.66,80.91
EXCELSOFT TECHNOLOGIES PTE. LTD.,367800.0,2,2,76.98,3.88,97.83
EXCELTEC PROPERTY MANAGEMENT PTE LTD,22862772.14,14,12,83.48,4.21,100.0
EXECSEARCH,18.0,1,1,96.17,2.07,85.63
EXECUTIVE COUNSELLING AND TRAINING ACADEMY PTE. LTD.,1787600.0,3,1,100.0,3.83,78.68
EXER-FIT CONSULTANCY SERVICES,681362.0,7,5,75.31,4.56,68.54
EXERCISE & SPORTS PROGRAMMING NETWORK,195800.0,3,1,72.96,3.87,87.05
EXILE SOLUTIONS PTE. LTD.,134520.0,3,1,100.0,3.82,80.1
EXMILE SOLUTIONS LIMITED,25160.29,1,1,91.12,3.48,83.38
EXOTISSIMO TRAVEL (SINGAPORE) CO. PTE. LTD.,283675.82,2,1,81.05,4.7,95.3
EXPAND CONSTRUCTION PTE LTD,1017285110.0,15,4,92.28,4.43,69.76
EXPANDORE ELECTRONICS PTE. LTD.,525665.0,6,4,66.91,4.6,68.76
EXPENOVATE PTE. LTD.,146858.6,4,1,88.03,3.06,75.64
EXPERIAN CREDIT SERVICES SINGAPORE PTE. LTD.,813134.0,1,1,90.62,4.0,86.21
EXPERIENCE MATTERS PTE. LTD.,1925980.5,6,4,95.39,3.93,83.55
EXPERIENTIAL CREATIONS PTE. LTD.,645153.0,5,4,79.89,3.93,69.04
EXPERTISE TECHNOLOGIES PTE LTD,13405483.5,1,1,88.69,3.73,85.57
EXPLORA PTE. LTD.,2027834.35,10,8,80.6,3.89,65.99
EXPONENT CHALLENGE TECHNOLOGY ASIA PTE. LTD.,1588892.0,8,6,90.04,4.61,69.62
EXPORT HOUSE (SINGAPORE) PTE. LTD.,149500.0,1,1,80.84,2.95,76.85
EXPRESS PEST SOLUTIONS PTE. LTD.,3069824.42,5,3,84.74,5.0,72.47
EXPRESS POINT ENGINEERING & SERVICES PTE. LTD.,399638.24,1,1,80.03,4.39,86.9
EXPRESS TRANSLATION PTE. LTD.,158.0,1,1,93.21,4.07,80.86
EXTOL SERVICES PTE. LTD.,20340.0,1,1,94.87,4.64,95.66
EXTRAD INSTRUMENTATION PTE LTD,3257049.0,7,2,86.12,3.23,75.53
EXTRAORDINARY PEOPLE LIMITED,100000.0,1,1,88.31,3.7,76.78
EXTRUDE HONE K.K.,499998.0,1,1,76.41,4.03,90.1
EY CORPORATE ADVISORS PTE. LTD.,308510.0,2,2,85.6,4.92,77.09
EY DIGITAL PTE. LTD.,10071532.0,14,8,87.6,4.07,92.94
EYE-2-EYE COMMUNICATIONS PRIVATE LIMITED,2607384.0,5,4,100.0,4.37,83.41
EZ-LINK PTE LTD,1838107.3199999998,4,2,79.1,3.75,54.47
EZRA ARCHITECTS,584500.6,3,2,99.71,4.39,89.78
EZRA PRINT & PACK PTE LTD,767868.0,2,1,95.97,5.0,87.13
EZZOGENICS PTE. LTD.,61322.0,1,1,90.25,4.7,87.51
Eazi Printing Pte Ltd,57.76,1,1,100.0,4.05,58.89
Echelon Engineering Pte. Ltd.,8502750.0,5,1,90.98,4.51,71.37
Echo Myanmar Communications Company Limited,665604.72,1,1,91.11,4.45,72.11
Econ Geotech Pte Ltd,1331895.0,3,1,87.58,4.4,69.59
Ed Zublin AG Singapore Branch,53440576.0,1,1,97.79,4.77,95.42
Edge Renovation LLC,701370.13,1,1,96.77,4.76,77.88
"Edstrom Industries, Inc.",249047.74,1,1,82.99,4.02,77.63
Educational Publishing House Pte Ltd,56322.48,1,1,77.45,4.49,83.52
Educational bookings and Management,62540.0,1,1,86.38,3.87,83.69
Effective Engineering Pte Ltd,100000.0,1,1,81.6,3.55,44.65
Eitan Pte Ltd,6.0,1,1,87.49,3.94,71.54
Elangovan s/o Ganesan,10000.0,1,1,97.9,4.05,63.87
Elena Constante / Kachurina,50.0,1,1,84.34,3.1,82.0
Elsie's Kitchen,2097432.4,1,1,87.66,4.62,75.11
En Community Services Society,316380.0,6,3,88.46,2.44,78.15
Encord Sdn. Bhd.,64731.2,1,1,94.79,5.0,57.21
Eng Hiap Kiong General Contractor Pte Ltd,622116.0,1,1,70.02,5.0,74.9
Eng Leong Medallic Industries Pte Ltd,7635420.84,12,7,83.15,3.94,89.15
Eng Xian Construction Pte Ltd,6894928.5,3,3,89.69,4.11,92.09
Ensign Infosecurity (Asia Pacific) Pte. Ltd.,7209810.96,1,1,97.6,4.28,85.19
Ensign Infosecurity (Singapore) Pte. Ltd.,3829855.6,13,11,84.06,3.75,64.65
Enterprise Sports Group Pte Ltd,73651.0,1,1,72.99,4.22,90.59
Entre' Automatics Pte Ltd,9300.0,1,1,92.96,4.01,85.24
Envision Digital Singapore Pte. Ltd.,772397.6,1,1,82.92,4.04,76.83
Epinion P/S,1.0,1,1,78.48,4.21,57.75
Epson Singapore Pte Ltd,3540030.36,1,1,83.01,3.31,87.54
Epworth Community Services,1011252.0,4,2,86.52,4.12,72.08
Eschmann Holdings Pte Limited,6207016.93,1,1,83.16,4.2,81.46
Esco Micro Pte Ltd,651786.0,4,4,70.36,4.18,78.68
Everfirst Pte Ltd,32575.0,1,1,95.18,3.97,93.38
Evergy Engineering Sdn Bhd,86803.2,1,1,98.2,4.78,76.75
Everpaint Enterprise Pte Ltd,1533415.0,4,4,93.21,3.89,77.85
Excellent Security & Safety Pte Ltd,15846510.0,8,5,78.9,4.24,93.79
Exclusive Design Construction Pte Ltd,6908537.0,2,2,86.39,4.88,71.42
Exera Myanmar Limited,911312.15,1,1,87.95,4.05,86.14
Expertise Technologies Pte Ltd,3466492.5,5,4,92.79,4.23,76.01
Explorance,525570.56,2,2,93.35,4.04,67.97
F&H EMPIRE MACHINERY SDN BHD,4581511.16,8,1,82.13,4.84,78.01
F&N FOODS PTE LTD,1634.51,1,1,88.66,3.95,84.92
F1 RECREATION PTE. LTD.,5229827.22,12,10,91.66,4.87,91.54
F5 TECHNOLOGIE GMBH,151486.57,1,1,99.65,4.04,92.75
FACILITATORS NETWORK SINGAPORE PTE. LTD.,4351600.0,7,2,93.64,3.58,75.05
FACTIVA LIMITED,9386981.75,7,3,94.31,4.51,68.13
FACTS GLOBAL ENERGY PTE. LTD.,154653.5,2,2,88.67,3.92,74.81
FADEEV SECURITY PROFI LLC,179804.0,1,1,99.28,4.47,66.18
FADELY ENTERPRISES & CONSTRUCTION PTE LTD,135288.0,1,1,91.28,2.46,75.83
FAESOL PTE. LTD.,34482.0,1,1,81.11,4.1,74.58
FAIRFIELD INDUSTRIES INCORPORATED,673777.41,1,1,99.23,3.82,85.27
FAITHFUL+GOULD PTE. LIMITED,2740491.5,8,7,93.58,3.46,55.94
FALCON EPC PTE. LTD.,903760.0,1,1,84.46,3.77,70.66
FALCON INCORPORATION PTE. LTD.,12720185.55,1,1,84.16,3.76,70.74
FAMILYWISE,763200.0,4,2,90.37,4.07,89.87
FANUC SINGAPORE PTE LTD,116489.57,1,1,91.71,3.28,66.86
FAR EAST FLORA.COM PTE LTD,1.0,1,1,89.58,4.29,80.27
FAR EAST ORGANIZATION CENTRE PTE. LTD.,240.0,1,1,90.49,4.92,76.72
FAR OCEAN SEA PRODUCTS (PRIVATE) LIMITED,26315.0,1,1,100.0,4.27,88.43
FARM ARCHITECTS PTE. LTD.,60016.65,2,2,96.57,4.59,83.96
FARMWORK PTE. LTD.,354501.0,2,2,89.53,4.76,79.21
FARO SINGAPORE PTE. LTD.,136203.44,1,1,95.53,4.84,72.45
FASSLER GOURMET PTE LTD,27550.0,2,2,79.74,5.0,59.48
FAST FORWARD THINKING S.L.,323657.62,1,1,91.18,3.8,80.47
FATBIRD SPORTS,1.0,1,1,100.0,3.67,83.3
FCA PTE. LTD.,244608.18,2,1,86.26,4.57,62.25
FCM SINGAPORE PTE. LTD.,52813.0,1,1,81.22,4.52,65.66
FD CHAPMAN PTE. LTD.,181000.0,2,2,82.78,4.57,80.52
FEDERAL EXPRESS (SINGAPORE) PTE LTD,1407526.5,1,1,79.28,5.0,81.39
FEDERAL FIRE ENGINEERING PTE LTD,929400.0,2,2,81.72,4.11,68.09
FEDERAL INSURANCE COMPANY,596089.9,4,4,85.04,4.36,72.26
FEELY PRODUCTIONS PTE. LTD.,166400.0,1,1,76.76,3.51,59.64
FEI COMPANY OF USA (S.E.A.) PTE LTD,2593059.0,6,3,88.12,5.0,91.77
FEI SIONG FOOD MANAGEMENT PTE. LTD.,2688000.0,1,1,95.22,3.9,65.0
FEI YUE COMMUNITY SERVICES,17927058.64,19,5,80.74,3.92,83.42
FELICITY ENGINEERING PTE LTD,11901345.71,5,2,100.0,3.89,77.65
FELIX INVESTMENTS & TRADING PTE. LTD.,544850.0,1,1,92.09,3.71,90.9
FELLOW,187755.0,2,2,96.24,3.66,70.08
FENG MING CONSTRUCTION PTE LTD,29936609.0,1,1,82.74,3.79,78.61
FENG MING CONSTRUCTION PTE LTD / T.Y.LIN INTERNATIONAL PTE. LTD.,49240630.0,1,1,94.84,3.28,61.02
FERMAX ASIA PACIFIC PTE. LTD.,97800.0,1,1,79.26,3.63,58.61
FERVOUR PTE. LTD.,158400.0,1,1,95.12,5.0,83.96
FESTIVAL SQUARE CIRCLE PTE LTD,3250000.0,1,1,89.37,4.54,60.15
FESTO PRIVATE LIMITED,3324400.5,8,5,92.43,4.66,75.72
FFURIOUS PTE. LTD.,131320.0,1,1,78.6,4.81,88.11
FG CONCEPTS PRIVATE LIMITED,1565000.5,8,6,80.84,5.0,85.47
FIBER ONE ASIA PTE. LTD.,2583360.0,2,2,92.78,3.04,71.35
FIBRECOM SYSTEMS PTE LTD,76528.0,1,1,80.41,3.36,62.11
FIBRWRAP CONSTRUCTION PTE. LTD.,3719639.6,5,2,91.71,3.62,83.09
FICO PTE. LTD.,643500.0,1,1,77.06,3.82,91.42
FIELD CATERING & SUPPLIES PTE LTD,26330.2,3,2,94.79,3.92,71.38
FIELDMEN GENERAL SERVICES CORP.,83338.83,1,1,78.14,3.83,69.97
FIELDTEC ENGINEERING SDN. BHD.,341475.9,6,1,92.42,4.23,72.75
FIL INVESTMENT MANAGEMENT (SINGAPORE) LIMITED,1.25,2,1,93.01,4.12,83.72
FILLIPACE ENGINEERING,220625.0,3,2,82.43,3.67,90.29
FINMARK LASER PTE. LTD.,102160.0,1,1,92.66,2.79,65.6
FINN PARTNERS ASIA TRADING PTE. LTD.,1549500.0,1,1,90.08,3.5,63.02
FIRCROFT PTE. LTD.,1.0,1,1,83.69,3.77,100.0
FIRE ARMOUR PTE. LTD.,2322669.0,3,2,79.93,3.95,76.23
FIRE FIGHTING SYSTEMS (FAR EAST) PTE. LTD.,15006500.0,1,1,72.3,3.42,80.53
FIREBALL SECURITAS & CONSULTANTS PVT. LTD.,342238.97,1,1,90.8,3.81,71.08
FIREFLY PHOTOGRAPHY PTE. LTD.,9286.5,3,2,75.48,3.42,82.9
FIRETRONICS PRIVATE LIMITED,1739374.0,4,4,88.76,4.02,87.6
FIRST APPRAISAL PTE LTD,0.02,2,1,85.89,3.46,81.0
FIRST CODE ACADEMY PTE. LTD.,1.0,1,1,93.43,3.59,95.41
FIRST ECONOMICS PTE. LIMITED,112001.0,2,2,85.58,3.31,74.73
FIRST PARAGON ENTERPRISE PTE LTD,1000000.0,1,1,85.36,4.01,75.37
FIRST SIGHT INTERNATIONAL PRIVATE LIMITED,567146.0,3,1,93.85,3.58,80.31
FIRST STATE INVESTMENTS (SINGAPORE),1580003.05,3,3,90.68,4.64,82.65
FIRST WAVE PTE. LTD.,10335326.3,24,13,90.53,4.34,80.28
FISCHER INSTRUMENTATION (S) PTE LTD,125000.0,1,1,91.75,4.06,65.16
FISH2GO PTE. LTD.,50.0,1,1,75.72,3.62,81.13
FISHER ASSOC. LTD,1299957.37,1,1,94.05,4.33,74.26
FISHER SCIENTIFIC PTE LTD,9599488.55,49,14,92.9,4.51,72.19
FIT TRANSPORT SYSTEMS PTE. LTD.,92400.0,1,1,79.87,4.19,78.32
FITCH RATINGS SINGAPORE PTE. LTD.,494725.05,1,1,86.05,5.0,68.38
FITNESS AND HEALTH INTERNATIONAL PRIVATE LIMITED,525.0,2,2,87.69,4.38,66.65
FITNESS CORE-NER PTE. LTD.,1350394.0,5,4,86.92,4.65,51.85
FITTERLAB ENGINEERING PTE. LTD.,1185618.0,2,2,90.67,4.18,95.47
FIVE ALUMINIUM BOAT & ENGINEERING PTE. LTD.,881320.0,2,2,99.45,4.51,83.56
FJ TECHNICAL PTE. LTD.,115000.0,1,1,96.65,3.62,76.83
FJ VANITY BUSINESS SERVICES,652234.0,2,2,77.5,3.82,71.33
"FJC Security Services, Inc.",121624.81,1,1,92.98,4.31,49.24
FLAIR ARTZ INTERNATIONAL,255000.0,1,1,98.63,4.31,70.71
FLAKTGROUP SINGAPORE PTE. LTD.,71750.0,1,1,91.09,4.4,85.16
FLAME SPRAY TECHNOLOGIES PTE. LTD.,722988.0,1,1,96.73,4.76,87.42
FLARE DYNAMICS PTE. LTD.,4077293.5,3,2,100.0,3.25,84.42
FLAT WORLD TECHNOLOGIES INTERNATIONAL PTE. LTD.,524420.88,4,3,96.19,3.52,79.58
FLAVA DESIGN LLP,172500.0,1,1,89.99,4.24,91.04
FLEISCHHACKER LLP,199077.65999999997,6,3,96.36,3.67,74.71
FLEISHMAN-HILLARD,452323.16,1,1,89.16,5.0,88.85
FLEISHMAN-HILLARD INC.,958573.8,1,1,88.19,4.41,74.15
FLEMINGS SAFETY PTE. LTD.,7624224.0,4,3,85.19,4.05,69.19
FLEXI SYSTEMS (SINGAPORE) PTE. LTD.,135065.0,1,1,100.0,3.79,67.94
FLEXIM INSTRUMENTS ASIA PTE. LTD.,90388.32,1,1,81.45,3.81,67.36
FLEXISOLVE TECHNOLOGY PTE LTD,1848213.0,5,3,100.0,4.12,84.59
FLEXMECH ENGINEERING PTE LTD,3466.0,1,1,92.0,4.17,70.57
FLEXSPEED TECHNOLOGY PTE. LTD.,116300.0,1,1,76.81,3.83,67.67
FLOERGER (S.E.A.) PTE LTD,14611400.0,3,1,90.94,3.94,85.14
FLOTECH CONTROLS PTE LTD,37372260.0,15,1,71.2,4.91,81.28
FOC SENTOSA PTE. LTD.,50.0,1,1,93.0,4.93,87.63
FOCAL INVESTIGATION & SECURITY AGENCY PTE LTD,3944781.0,4,3,95.08,4.25,83.13
FOCUS ADVENTURE PTE. LTD.,502140.5,15,9,83.26,3.3,70.47
FOCUS ON THE FAMILY SINGAPORE LIMITED,162360.0,2,2,88.99,4.42,78.76
FOCUS PUBLISHING LTD,1175960.1,8,3,100.0,5.0,79.25
FOCUS SCIENCE TECHNOLOGY SERVICES PTE. LTD.,1494600.0,5,3,83.95,4.92,68.81
FOLIAGE LANDSCAPE SERVICES SDN BHD,98631.0,1,1,79.53,4.54,66.95
FOMA ARCHITECTS LLP,90013.3,2,2,99.85,4.95,71.19
FONDA GLOBAL ENGINEERING PTE. LTD.,465934393.58,25,12,100.0,4.13,98.37
FONDACO PTE LTD,5165990.0,5,2,88.03,4.48,73.87
FONG CONSULT PTE. LTD.,87749482.00999999,52,6,96.09,3.69,90.33
FONG TECHNOLOGY ASIA PTE. LTD.,158605.0,1,1,98.73,4.28,73.31
FONG YUE DEVELOPMENT PTE. LTD.,9639000.0,5,4,82.06,4.9,86.89
FONGSOON ENGINEERING (S) PTE LTD.,2055555.0,1,1,84.12,3.75,87.02
FOO KON TAN LLP,2885972.0,22,16,97.85,3.58,87.53
FOO SIANG LUEN,368640.0,1,1,100.0,4.16,81.88
FOOD & NUTRITION SPECIALISTS PTE LTD,1400392.0,4,1,92.5,3.96,91.77
FOOD FEST F & B PTE. LTD.,1282371.08,3,2,80.96,4.49,81.78
FOOD HAVEN THE RESTAURANT PTE. LTD.,269500.0,1,1,100.0,3.83,95.14
